Date,Open,High,Low,Close,Adj Close,Volume
2005-09-29,4930.0,4930.0,4930.0,4930.0,3117.694336,200.0
2005-09-30,,,,,,
2005-10-03,,,,,,
2005-10-04,,,,,,
2005-10-05,,,,,,
2005-10-06,,,,,,
2005-10-07,,,,,,
2005-10-10,,,,,,
2005-10-11,,,,,,
2005-10-12,,,,,,
2005-10-13,,,,,,
2005-10-14,,,,,,
2005-10-17,,,,,,
2005-10-18,4920.0,4930.0,4920.0,4930.0,3117.694336,10150.0
2005-10-19,,,,,,
2005-10-20,,,,,,
2005-10-21,4850.0,4920.0,4800.0,4905.0,3101.884521,9150.0
2005-10-24,4965.0,4965.0,4810.0,4850.0,3067.103271,24250.0
2005-10-25,4850.0,4850.0,4810.0,4810.0,3041.807129,5870.0
2005-10-26,,,,,,
2005-10-27,,,,,,
2005-10-28,,,,,,
2005-10-31,,,,,,
2005-11-01,,,,,,
2005-11-02,,,,,,
2005-11-03,4850.0,4850.0,4800.0,4845.0,3063.940918,4130.0
2005-11-04,,,,,,
2005-11-07,4700.0,4700.0,4700.0,4700.0,2972.245117,10.0
2005-11-08,4840.0,4840.0,4840.0,4840.0,3060.778809,200.0
2005-11-09,,,,,,
2005-11-10,,,,,,
2005-11-11,,,,,,
2005-11-14,,,,,,
2005-11-15,,,,,,
2005-11-16,4790.0,4840.0,4790.0,4840.0,3060.778809,250.0
2005-11-17,,,,,,
2005-11-18,4500.0,4780.0,4105.0,4700.0,2972.245117,9046.0
2005-11-21,4695.0,4740.0,4555.0,4695.0,2969.082764,8860.0
2005-11-22,4600.0,4690.0,4600.0,4690.0,2965.919434,510.0
2005-11-23,4600.0,4685.0,4600.0,4665.0,2950.110352,810.0
2005-11-24,4600.0,4685.0,4590.0,4590.0,2902.680176,24310.0
2005-11-25,4600.0,4730.0,4600.0,4730.0,2991.216309,8000.0
2005-11-28,4510.0,4730.0,4510.0,4730.0,2991.216309,1636.0
2005-11-29,4550.0,4735.0,4550.0,4735.0,2994.37793,1510.0
2005-11-30,4710.0,4710.0,4710.0,4710.0,2978.568604,930.0
2005-12-01,,,,,,
2005-12-02,4610.0,4610.0,4610.0,4610.0,2915.328857,10.0
2005-12-05,,,,,,
2005-12-06,,,,,,
2005-12-07,4610.0,4610.0,4610.0,4610.0,2915.328857,10.0
2005-12-08,,,,,,
2005-12-09,,,,,,
2005-12-12,,,,,,
2005-12-13,,,,,,
2005-12-14,,,,,,
2005-12-15,4550.0,4760.0,4425.0,4425.0,2798.336426,610.0
2005-12-16,,,,,,
2005-12-19,,,,,,
2005-12-20,,,,,,
2005-12-21,4505.0,4505.0,4500.0,4500.0,2845.764893,400.0
2005-12-22,,,,,,
2005-12-23,,,,,,
2005-12-26,,,,,,
2005-12-27,4695.0,4695.0,4695.0,4695.0,2969.082764,500.0
2005-12-28,,,,,,
2005-12-29,,,,,,
2006-01-02,,,,,,
