Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,13007.799805,13761.900391,12913.599609,13384.900391,7438.746582,824638.0
2000-01-05,13384.900391,13384.900391,12159.5,12819.299805,7124.409668,556230.0
2000-01-06,13667.599609,13667.599609,12253.700195,12677.900391,7045.826172,418631.0
2000-01-07,12348.0,12536.5,11876.700195,12112.400391,6731.546875,353598.0
2000-01-10,12159.5,12395.099609,11782.400391,12112.400391,6731.546875,377150.0
2000-01-11,12065.200195,12819.299805,11876.700195,12442.299805,6914.889648,581161.0
2000-01-12,12065.200195,12253.700195,11829.599609,11876.700195,6600.553711,223956.0
2000-01-13,11782.400391,11876.700195,11216.900391,11782.400391,6548.145996,380439.0
2000-01-14,11782.400391,11971.0,11358.299805,11499.700195,6391.03418,232443.0
2000-01-17,11688.200195,12395.099609,11311.200195,12112.400391,6731.546875,652453.0
2000-01-18,11923.799805,12112.400391,11499.700195,11782.400391,6548.145996,387547.0
2000-01-19,11405.400391,11688.200195,10651.299805,10651.299805,5919.530273,386804.0
2000-01-20,10368.599609,10745.599609,9708.740234,10368.599609,5762.416992,724807.0
2000-01-21,10557.099609,11028.400391,9991.519531,10462.799805,5814.77002,1005521.0
2000-01-24,10557.099609,10698.5,10085.799805,10462.799805,5814.77002,683644.0
2000-01-25,10368.599609,10934.099609,10180.0,10368.599609,5762.416992,555805.0
2000-01-26,10415.700195,11075.5,10368.599609,11075.5,6155.282227,539892.0
2000-01-27,11075.5,11641.099609,10839.900391,11546.799805,6417.209961,563020.0
2000-01-28,11499.700195,12725.0,11405.400391,12442.299805,6914.889648,705392.0
2000-01-31,11971.0,12725.0,11782.400391,12348.0,6862.481934,335881.0
2000-02-01,12725.0,12725.0,11829.599609,11971.0,6652.961914,323681.0
2000-02-02,12442.299805,13007.799805,12159.5,12630.799805,7019.650879,739766.0
2000-02-03,12489.400391,13102.099609,12159.5,12630.799805,7019.650879,384152.0
2000-02-04,12630.799805,12630.799805,12630.799805,12630.799805,7019.650879,0.0
2000-02-07,12630.799805,12913.599609,12348.0,12725.0,7072.001953,336836.0
2000-02-08,12819.299805,12819.299805,12065.200195,12159.5,6757.720703,333759.0
2000-02-09,11829.599609,12536.5,11829.599609,12159.5,6757.720703,239127.0
2000-02-10,11971.0,12630.799805,11593.900391,11593.900391,6443.385742,428073.0
2000-02-11,11452.5,11876.700195,10887.0,11405.400391,6338.626465,472313.0
2000-02-14,11122.599609,11641.099609,10698.5,10698.5,5945.760742,154573.0
2000-02-15,10368.599609,11028.400391,10180.0,10557.099609,5867.176758,230321.0
2000-02-16,10839.900391,10839.900391,9991.519531,10557.099609,5867.176758,298537.0
2000-02-17,10227.200195,11405.400391,10227.200195,11405.400391,6338.626465,522918.0
2000-02-18,11122.599609,11782.400391,10934.099609,11358.299805,6312.449707,549228.0
2000-02-21,10839.900391,11311.200195,10651.299805,10887.0,6050.520996,206239.0
2000-02-22,11311.200195,11688.200195,10934.099609,11593.900391,6443.385742,701785.0
2000-02-23,12159.5,12253.700195,11593.900391,11688.200195,6495.792969,560792.0
2000-02-24,11971.0,11971.0,11028.400391,11688.200195,6495.792969,366541.0
2000-02-25,11311.200195,12348.0,11311.200195,11971.0,6652.961914,531299.0
2000-02-28,11782.400391,12536.5,11593.900391,11688.200195,6495.792969,302144.0
2000-02-29,11782.400391,12206.599609,11311.200195,11311.200195,6286.273926,255253.0
2000-03-01,11311.200195,11311.200195,11311.200195,11311.200195,6286.273926,0.0
2000-03-02,11499.700195,12442.299805,11405.400391,12442.299805,6914.889648,544029.0
2000-03-03,12725.0,12725.0,11876.700195,12112.400391,6731.546875,289626.0
2000-03-06,12677.900391,13007.799805,12065.200195,12536.5,6967.241699,723003.0
2000-03-07,12253.700195,12630.799805,11782.400391,11782.400391,6548.145996,275622.0
2000-03-08,11688.200195,11971.0,11452.5,11782.400391,6548.145996,350521.0
2000-03-09,12159.5,13526.299805,11829.599609,12253.700195,6810.074707,2281784.0
2000-03-10,12725.0,13196.299805,12253.700195,12913.599609,7176.817871,748677.0
2000-03-13,12913.599609,13526.299805,12536.5,12819.299805,7124.409668,639192.0
2000-03-14,12630.799805,13196.299805,12206.599609,12395.099609,6888.657227,318058.0
2000-03-15,10557.099609,12677.900391,10557.099609,12536.5,6967.241699,441228.0
2000-03-16,12442.299805,12819.299805,12018.099609,12630.799805,7019.650879,289307.0
2000-03-17,12819.299805,12819.299805,11876.700195,12112.400391,6731.546875,278911.0
2000-03-20,12159.5,12913.599609,12018.099609,12442.299805,6914.889648,380227.0
2000-03-21,12725.0,12725.0,11971.0,12253.700195,6810.074707,233822.0
2000-03-22,12253.700195,12913.599609,12065.200195,12536.5,6967.241699,567475.0
2000-03-23,12725.0,13620.5,12442.299805,12677.900391,7045.826172,921816.0
2000-03-24,12725.0,13337.700195,12253.700195,12819.299805,7124.409668,1195316.0
2000-03-27,13196.299805,13384.900391,12913.599609,12960.700195,7202.993652,1051776.0
2000-03-28,12913.599609,13102.099609,12630.799805,12725.0,7072.001953,586359.0
2000-03-29,12725.0,12866.400391,12253.700195,12725.0,7072.001953,522281.0
2000-03-30,12725.0,12725.0,11405.400391,12206.599609,6783.897949,469660.0
2000-03-31,11782.400391,12159.5,11593.900391,11782.400391,6548.145996,235202.0
2000-04-03,11782.400391,11782.400391,10981.200195,11122.599609,6181.457031,259602.0
2000-04-04,10415.700195,11358.299805,10415.700195,11216.900391,6233.866699,237642.0
2000-04-05,11216.900391,11216.900391,11216.900391,11216.900391,6233.866699,0.0
2000-04-06,10934.099609,11216.900391,10745.599609,10934.099609,6076.697754,178337.0
2000-04-07,10839.900391,11216.900391,10698.5,10698.5,5945.760742,465735.0
2000-04-10,11028.400391,11122.599609,10651.299805,11075.5,6155.282227,643011.0
2000-04-11,10934.099609,10934.099609,10557.099609,10745.599609,5971.9375,182793.0
2000-04-12,10839.900391,11264.0,10462.799805,11028.400391,6129.105469,352643.0
2000-04-13,11028.400391,11028.400391,11028.400391,11028.400391,6129.105469,0.0
