Date,Open,High,Low,Close,Adj Close,Volume
2000-02-11,4780.0,4790.0,4230.0,4400.0,2278.403564,129000.0
2000-02-14,4300.0,4300.0,4050.0,4290.0,2221.443359,67900.0
2000-02-15,4280.0,4580.0,4080.0,4140.0,2143.770996,59800.0
2000-02-16,4100.0,4200.0,3970.0,4070.0,2107.523682,29700.0
2000-02-17,4080.0,4150.0,4000.0,4050.0,2097.167236,35800.0
2000-02-18,4150.0,4190.0,3970.0,4070.0,2107.523682,60100.0
2000-02-21,4070.0,4070.0,3680.0,3760.0,1946.999512,47400.0
2000-02-22,3700.0,3750.0,3530.0,3570.0,1848.613525,40500.0
2000-02-23,3490.0,3990.0,3490.0,3990.0,2066.0979,83300.0
2000-02-24,4100.0,4100.0,3680.0,3800.0,1967.712524,46500.0
2000-02-25,3800.0,3900.0,3530.0,3710.0,1921.109009,57500.0
2000-02-28,3750.0,3750.0,3520.0,3620.0,1874.505005,31500.0
2000-02-29,3700.0,3900.0,3550.0,3680.0,1905.574097,64800.0
2000-03-01,3680.0,3680.0,3680.0,3680.0,1905.574097,0.0
2000-03-02,3680.0,3800.0,3600.0,3750.0,1941.821533,79400.0
2000-03-03,3750.0,3760.0,3500.0,3560.0,1843.436157,58300.0
2000-03-06,3590.0,3850.0,3590.0,3790.0,1962.534058,86000.0
2000-03-07,3750.0,4240.0,3700.0,4060.0,2102.344971,180800.0
2000-03-08,4100.0,4390.0,3950.0,3990.0,2066.0979,130400.0
2000-03-09,4000.0,4210.0,3860.0,3900.0,2019.494263,102600.0
2000-03-10,3840.0,4000.0,3760.0,3860.0,1998.781738,79400.0
2000-03-13,3800.0,3840.0,3710.0,3720.0,1926.286865,58200.0
2000-03-14,3720.0,3940.0,3650.0,3750.0,1941.821533,62100.0
2000-03-15,3800.0,3800.0,3620.0,3650.0,1890.039429,46100.0
2000-03-16,3720.0,3880.0,3600.0,3670.0,1900.395508,66300.0
2000-03-17,3750.0,3780.0,3660.0,3770.0,1952.17749,57200.0
2000-03-20,3790.0,3790.0,3620.0,3670.0,1900.395508,33600.0
2000-03-21,3790.0,3790.0,3540.0,3590.0,1858.970459,34700.0
2000-03-22,3590.0,3800.0,3590.0,3720.0,1926.286865,96800.0
2000-03-23,3620.0,3670.0,3500.0,3560.0,1843.436157,64300.0
2000-03-24,3560.0,3580.0,3450.0,3520.0,1822.723145,53200.0
2000-03-27,3450.0,3550.0,3450.0,3530.0,1827.900757,19900.0
2000-03-28,3530.0,3630.0,3510.0,3590.0,1858.970459,48000.0
2000-03-29,3590.0,3630.0,3520.0,3550.0,1838.25769,51400.0
2000-03-30,3530.0,3550.0,3340.0,3420.0,1770.940918,59200.0
2000-03-31,3500.0,3550.0,3300.0,3320.0,1719.158813,35200.0
2000-04-03,3270.0,3270.0,3060.0,3130.0,1620.773438,34300.0
2000-04-04,3180.0,3300.0,3130.0,3210.0,1662.199097,67100.0
2000-04-05,3210.0,3210.0,3210.0,3210.0,1662.199097,0.0
2000-04-06,3210.0,3240.0,3100.0,3120.0,1615.595459,27500.0
2000-04-07,3070.0,3280.0,3060.0,3200.0,1657.021118,38400.0
2000-04-10,3150.0,3270.0,3080.0,3240.0,1677.733521,65300.0
2000-04-11,3240.0,3240.0,3110.0,3180.0,1646.664429,40700.0
2000-04-12,3020.0,3520.0,3020.0,3250.0,1682.912109,67000.0
2000-04-13,3250.0,3250.0,3250.0,3250.0,1682.912109,0.0
2000-04-14,3240.0,3640.0,3240.0,3640.0,1884.861328,164200.0
2000-04-17,3640.0,4060.0,3500.0,3790.0,1962.534058,349900.0
2000-04-18,4100.0,4100.0,3600.0,3610.0,1869.326782,143200.0
2000-04-19,3630.0,3820.0,3490.0,3500.0,1812.366943,105200.0
2000-04-20,3350.0,3660.0,3300.0,3520.0,1822.723145,55600.0
2000-04-21,3590.0,3590.0,3360.0,3430.0,1776.119141,63800.0
2000-04-24,3310.0,3440.0,3310.0,3310.0,1713.981445,62200.0
2000-04-25,3250.0,3300.0,3160.0,3230.0,1672.555542,34900.0
2000-04-26,3290.0,3300.0,3140.0,3230.0,1672.555542,37200.0
2000-04-27,3160.0,3230.0,3100.0,3150.0,1631.130371,30100.0
2000-04-28,3090.0,3290.0,3090.0,3200.0,1657.021118,30600.0
2000-05-01,3200.0,3200.0,3200.0,3200.0,1657.021118,0.0
2000-05-02,3220.0,3400.0,3200.0,3320.0,1719.158813,27700.0
2000-05-03,3300.0,3320.0,3200.0,3280.0,1698.446289,43400.0
2000-05-04,3300.0,3310.0,3210.0,3240.0,1677.733521,31800.0
2000-05-05,3240.0,3240.0,3240.0,3240.0,1677.733521,0.0
2000-05-08,3210.0,3270.0,3150.0,3230.0,1672.555542,19600.0
2000-05-09,3230.0,3230.0,3230.0,3230.0,1672.555542,0.0
2000-05-10,3200.0,3200.0,3140.0,3190.0,1651.842773,13000.0
2000-05-11,3190.0,3190.0,3190.0,3190.0,1651.842773,0.0
2000-05-12,3140.0,3180.0,3070.0,3140.0,1625.951538,13900.0
2000-05-15,3100.0,3100.0,2900.0,3000.0,1553.457031,22200.0
2000-05-16,2820.0,3000.0,2820.0,2910.0,1506.853149,35800.0
2000-05-17,3000.0,3000.0,2650.0,2790.0,1444.71521,35900.0
2000-05-18,2680.0,2770.0,2460.0,2700.0,1398.11145,58400.0
2000-05-19,2820.0,2820.0,2510.0,2650.0,1372.220581,32800.0
2000-05-22,2600.0,2650.0,2500.0,2560.0,1325.616699,28700.0
2000-05-23,2260.0,2860.0,2260.0,2860.0,1480.96228,66000.0
2000-05-24,3160.0,3200.0,2900.0,3200.0,1657.021118,61500.0
2000-05-25,3580.0,3580.0,3400.0,3580.0,1853.791748,86000.0
2000-05-26,3800.0,3800.0,3160.0,3250.0,1682.912109,90500.0
2000-05-29,2920.0,3640.0,2920.0,3640.0,1884.861328,108100.0
2000-05-30,3640.0,3640.0,3640.0,3640.0,1884.861328,0.0
2000-05-31,3450.0,3900.0,3450.0,3610.0,1869.326782,250200.0
2000-06-01,3610.0,3700.0,3300.0,3380.0,1750.228271,73000.0
2000-06-02,3400.0,3780.0,3380.0,3780.0,1957.355835,384800.0
2000-06-05,4190.0,4230.0,4000.0,4230.0,2190.374023,127900.0
2000-06-06,4230.0,4230.0,4230.0,4230.0,2190.374023,0.0
2000-06-07,4230.0,4730.0,4200.0,4730.0,2449.284424,279300.0
2000-06-08,5290.0,5290.0,4300.0,4900.0,2537.312988,384100.0
2000-06-09,4490.0,4590.0,4320.0,4320.0,2236.979004,162600.0
2000-06-12,4130.0,4830.0,3870.0,4830.0,2501.066162,323700.0
2000-06-13,4830.0,5300.0,4360.0,5160.0,2671.946533,516100.0
2000-06-14,5160.0,5190.0,5000.0,5040.0,2609.807861,244200.0
2000-06-15,5050.0,5260.0,5040.0,5250.0,2718.550293,267000.0
2000-06-16,5250.0,5880.0,5250.0,5880.0,3044.775391,812600.0
2000-06-19,5800.0,6240.0,5750.0,5860.0,3034.419434,513700.0
2000-06-20,6000.0,6480.0,5770.0,6290.0,3257.080811,600800.0
2000-06-21,6010.0,6390.0,5700.0,5880.0,3044.775391,616900.0
2000-06-22,5800.0,6040.0,5720.0,5900.0,3055.13208,297900.0
2000-06-23,5710.0,5950.0,5590.0,5910.0,3060.310303,220900.0
2000-06-26,5760.0,6610.0,5700.0,6610.0,3422.783691,463200.0
2000-06-27,6610.0,7400.0,6610.0,7400.0,3831.861328,410800.0
2000-06-28,7390.0,7790.0,6700.0,6900.0,3572.95166,794500.0
2000-06-29,6850.0,7210.0,6660.0,7150.0,3702.40625,307400.0
2000-06-30,7100.0,7700.0,6840.0,7200.0,3728.297119,482600.0
2000-07-03,6700.0,7350.0,6700.0,7300.0,3780.078857,401200.0
2000-07-04,7300.0,7490.0,6600.0,6600.0,3417.605957,285700.0
2000-07-05,6600.0,6850.0,5820.0,6670.0,3453.853027,737400.0
2000-07-06,6600.0,6670.0,5870.0,5870.0,3039.597656,591700.0
2000-07-07,5510.0,6000.0,5220.0,5450.0,2822.11377,577900.0
2000-07-10,5540.0,5740.0,5200.0,5590.0,2894.608643,370200.0
2000-07-11,5700.0,6260.0,5610.0,5900.0,3055.13208,921700.0
2000-07-12,5900.0,6000.0,5400.0,5440.0,2816.935547,299200.0
2000-07-13,5400.0,5550.0,5150.0,5360.0,2775.509766,187700.0
2000-07-14,5360.0,5700.0,5010.0,5490.0,2842.826416,372500.0
2000-07-17,5490.0,5490.0,5490.0,5490.0,2842.826416,0.0
2000-07-18,5380.0,5380.0,4840.0,4940.0,2558.026123,174000.0
