Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,60684.0,68505.5,60684.0,66617.601563,66617.601563,149578.0
2000-01-05,63381.101563,68775.203125,60953.699219,67966.101563,67966.101563,182588.0
2000-01-06,69044.898438,72820.796875,63381.101563,64190.199219,64190.199219,237146.0
2000-01-07,64190.199219,68235.796875,63381.101563,65808.5,65808.5,178915.0
2000-01-10,70123.796875,70393.5,64729.601563,64729.601563,64729.601563,156515.0
2000-01-11,63920.5,72281.398438,63650.800781,66347.898438,66347.898438,311293.0
2000-01-12,65269.0,70123.796875,64999.300781,65808.5,65808.5,168041.0
2000-01-13,68505.5,73360.203125,66887.296875,73360.203125,73360.203125,489165.0
2000-01-14,73360.203125,79563.5,65269.0,68505.5,68505.5,718953.0
2000-01-17,70663.203125,72011.703125,65808.5,67157.0,67157.0,250967.0
2000-01-18,67157.0,68235.796875,62572.0,64190.199219,64190.199219,216767.0
2000-01-19,64190.199219,66617.601563,60953.699219,62572.0,62572.0,267809.0
2000-01-20,60414.300781,62302.300781,56638.398438,62032.601563,62032.601563,177578.0
2000-01-21,60414.300781,63650.800781,58526.398438,59335.5,59335.5,142673.0
2000-01-24,60144.601563,63650.800781,59605.199219,60953.699219,60953.699219,166894.0
2000-01-25,60953.699219,62841.699219,57987.0,58526.398438,58526.398438,115526.0
2000-01-26,59335.5,60414.300781,56099.0,56908.101563,56908.101563,113431.0
2000-01-27,56099.0,59065.800781,54480.800781,58256.699219,58256.699219,176557.0
2000-01-28,57177.800781,60684.0,57177.800781,58526.398438,58526.398438,163009.0
2000-01-31,57177.800781,58526.398438,56368.699219,57717.300781,57717.300781,115304.0
2000-02-01,59335.5,62841.699219,58796.101563,59605.199219,59605.199219,253409.0
2000-02-02,60414.300781,66887.296875,59874.898438,64459.898438,64459.898438,245998.0
2000-02-03,66347.898438,68505.5,63111.398438,63650.800781,63650.800781,242019.0
2000-02-04,63650.800781,63650.800781,63650.800781,63650.800781,63650.800781,0.0
2000-02-07,63650.800781,70932.898438,63111.398438,67966.101563,67966.101563,377103.0
2000-02-08,67966.101563,69314.601563,64459.898438,65538.796875,65538.796875,131631.0
2000-02-09,65538.796875,66617.601563,62572.0,62841.699219,62841.699219,136262.0
2000-02-10,60414.300781,63920.5,58796.101563,60414.300781,60414.300781,141494.0
2000-02-11,59605.199219,62032.601563,58256.699219,61223.398438,61223.398438,160515.0
2000-02-14,59605.199219,61762.898438,56638.398438,56638.398438,56638.398438,189020.0
2000-02-15,57717.300781,58796.101563,52862.5,53887.398438,53887.398438,90989.0
2000-02-16,54480.800781,55559.601563,49895.800781,52592.800781,52592.800781,108536.0
2000-02-17,50758.800781,55020.199219,50758.800781,54750.5,54750.5,110641.0
2000-02-18,52862.5,56908.101563,52862.5,53941.398438,53941.398438,118904.0
2000-02-21,51352.199219,62032.601563,51352.199219,54480.800781,54480.800781,249030.0
2000-02-22,53941.398438,56638.398438,53401.898438,55020.199219,55020.199219,110505.0
2000-02-23,59335.5,62032.601563,56099.0,58256.699219,58256.699219,204367.0
